Sr.No,Round,Institute,Program,Stream,Quota,Category,Opening Rank,Closing Rank
1,Round 1,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,OBC - B,844,1220
2,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B. Tech,Home State,SC,17762,19763
3,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B. Tech,Home State,ST,36054,62310
4,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Food Technology,B.E/B. Tech,All India,Open,19555,79363
6,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Data Science) (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4011,4371
7,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B. Tech,Home State,Open,6049,12046
8,Round 1,Jadavpur University,Production Engineering,B.E/B. Tech,Home State,ST,14578,20981
9,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,7780,14050
10,Round 1,"Hooghly Engineering & Technology College, Hooghly",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,11848,17534
11,Round 1,"Bengal Institute of Technology, Dhapa, Kolkata",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,10591,17856
13,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,2059,2997
14,Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B. Tech,All India,Open,1582,2348
15,Round 1,University Of Calcutta,Polymer Science & Technology,B.E/B. Tech,Home State,SC,12586,13672
16,Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B. Tech,Home State,OBC - A,8120,18432
17,Round 1,University Of Calcutta,Polymer Science & Technology,B.E/B. Tech,Home State,ST,51658,51658
18,Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B. Tech,Home State,SC,8027,9425
19,Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B. Tech,All India,Open,1832,6443
20,Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B. Tech,Home State,ST,49383,49383
21,Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B. Tech,Home State,Open (PwD),72671,72671
22,Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B. Tech,Home State,SC,12433,16643
23,Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B. Tech,Home State,OBC - B,7800,8718
24,Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B. Tech,Home State,OBC - A,8276,8276
25,Round 1,University Of Calcutta,Polymer Science & Technology,B.E/B. Tech,All India,Open,1843,3380
26,Round 1,University Of Calcutta,Polymer Science & Technology,B.E/B. Tech,Home State,OBC - A,17447,17447
27,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,OBC - A,6215,6512
28,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,OBC - B,2594,2661
29,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,ST,13913,13913
30,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,Open (PwD),16017,16017
31,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,SC,2929,3711
32,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,Open,1155,1539
33,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Information Technology,B.E/B. Tech,All India,Open,12196,15779
34,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A (PwD),25774,25774
35,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,SC,8640,10248
36,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,Open (PwD),17130,17130
37,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,SC,4324,5971
38,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,ST,15389,23378
39,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,OBC - A,5340,9787
40,Round 1,University Of Calcutta,"Ceramic Engineering, Oil Technology, Petrochem & Petro Refinery Engg, Pharmaceutical & Fine Chemical Technology",B.E/B. Tech,Home State,ST,67753,67753
41,Round 1,University Of Calcutta,"Ceramic Engineering, Oil Technology, Petrochem & Petro Refinery Engg, Pharmaceutical & Fine Chemical Technology",B.E/B. Tech,Home State,OBC - B,3644,3644
42,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Computer Science & Engineering (Data Science),B.E/B. Tech,All India,Open,11253,37945
43,Round 1,University Of Calcutta,"Ceramic Engineering, Oil Technology, Petrochem & Petro Refinery Engg, Pharmaceutical & Fine Chemical Technology",B.E/B. Tech,All India,Open,1887,3286
44,Round 1,University Of Calcutta,"Ceramic Engineering, Oil Technology, Petrochem & Petro Refinery Engg, Pharmaceutical & Fine Chemical Technology",B.E/B. Tech,Home State,OBC - A,9767,9767
45,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,13685,17373
46,Round 1,University Of Calcutta,"Ceramic Engineering, Oil Technology, Petrochem & Petro Refinery Engg, Pharmaceutical & Fine Chemical Technology",B.E/B. Tech,Home State,SC,8749,13474
47,Round 1,University Of Calcutta,"Ceramic Engineering, Oil Technology, Petrochem & Petro Refinery Engg, Pharmaceutical & Fine Chemical Technology",B.E/B. Tech,Home State,Open (PwD),48402,48402
48,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Automobile Engineering,B.E/B. Tech,All India,Open,3429,75899
49,Round 1,"Techno Engineering Collge Banipur, 24 Parganas-North",Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,8357,26269
50,Round 1,"Future Institute of Technology, Boral, Garia",Computer Science & Engineering (Artificial Intelligence And Machine Learning) (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,19945,21793
51,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7069,26589
52,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Biotechnology,B.E/B. Tech,Home State,SC,42485,71695
53,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Chemical Engineering,B.E/B. Tech,All India,Open,3776,27874
54,Round 1,"Seacom Skills University, Bolpur",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,28897,33660
56,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,11460,12904
58,Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology,B.E/B. Tech,All India,Open,4440,14763
59,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),B.E/B. Tech,Home State,SC,9110,9110
60,Round 1,"Heritage Institute of Technology, Kolkata",Chemical Engineering,B.E/B. Tech,All India,Open,3464,19587
61,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),B.E/B. Tech,Home State,ST,41773,41773
62,Round 1,"Heritage Institute of Technology, Kolkata",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7929,14373
63,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,14234,23388
64,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Artificial Intelligence And Machine Learning,B.E/B. Tech,All India,Open,6798,24874
65,Round 1,University Of Calcutta,Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1513,1513
66,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7492,8995
67,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1268,1397
68,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,12900,13485
69,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2907,3658
70,Round 1,University Of Calcutta,Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1555,1555
71,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1579,1807
72,Round 1,"University Institute of Technology, Burdwan (Self Financing Course)",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2455,8264
73,Round 1,"University Institute of Technology, Burdwan (Self Financing Course)",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5833,11737
74,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,8979,9863
75,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,ST,15571,32123
76,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Computer Science & Engineering,B.E/B. Tech,Home State,SC,4133,8578
77,Round 1,"Camellia Institute of Engineering and Technology, Bud Bud, Burdwan",Computer Science & Engineering,B.E/B. Tech,Home State,OBC - B,76246,77307
78,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Computer Science & Engineering,B.E/B. Tech,All India,Open,1742,12219
79,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,9196,9497
80,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,Open,1489,2937
81,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Computer Science & Engineering,B.E/B. Tech,Home State,Open (PwD),3959,7099
82,Round 1,"Camellia Institute of Engineering and Technology, Bud Bud, Burdwan",Mechanical Engineering,B.E/B. Tech,All India,Open,51475,51475
83,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Mechanical Engineering,B.E/B. Tech,All India,Open,30797,77970
84,Round 1,University Of Calcutta,Computer Science & Engineering,B.E/B. Tech,Home State,Open (PwD),16574,16574
85,Round 1,"Camellia Institute of Engineering and Technology, Bud Bud, Burdwan",Computer Science & Engineering,B.E/B. Tech,All India,Open,13171,68168
86,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Computer Science & Engineering,B.E/B. Tech,All India,Open,9149,21133
87,Round 1,University Of Calcutta,Computer Science & Engineering,B.E/B. Tech,Home State,OBC - A,1983,1983
88,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,Home State,SC,6274,6274
89,Round 1,"Heritage Institute of Technology, Kolkata",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,19083,20789
90,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,2103,4299
91,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,Home State,ST,46890,46890
92,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,4284,8734
93,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,19836,22717
94,Round 1,"Techno India University, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,4279,10350
