Sr.No,Round,Institute,Program,Stream,Quota,Category,Opening Rank,Closing Rank
95,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,OBC - A,19257,27576
96,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,Open,7786,15585
97,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,Open (PwD),41258,41258
98,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,SC,20135,23475
99,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,ST,43865,71227
100,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology) (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4881,5206
101,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Electronics And Instrumentation Engineering,B.E/B. Tech,All India,Open,10327,27602
102,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Cyber Security) (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,6727,7764
103,Round 1,"Jis College of Engineering, Kalyani, Nadia",Agricultural Engineering,B.E/B. Tech,All India,Open,18665,80099
104,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,ST,32961,35055
105,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,All India,Open,2064,4864
106,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,OBC - B,6047,6160
107,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,OBC - A,11215,13379
108,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,SC,8025,10610
109,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,Open (PwD),40333,40333
110,Round 1,Uttar Banga Krishi Viswa Vidyalaya,Agricultural Engineering,B.E/B. Tech,Home State,Open (PwD),10883,10883
111,Round 1,Uttar Banga Krishi Viswa Vidyalaya,Agricultural Engineering,B.E/B. Tech,All India,Open,5351,9554
112,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Chemical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5213,18572
114,Round 1,"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,B.E/B. Tech,Home State,SC,21790,26714
115,Round 1,"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,B.E/B. Tech,All India,Open,8072,16377
116,Round 1,"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,B.E/B. Tech,Home State,OBC - A,29948,31893
117,Round 1,"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,B.E/B. Tech,Home State,OBC - B,20158,20339
118,Round 1,"Hooghly Engineering & Technology College, Hooghly",Electronics & Communication Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,24203,26061
120,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Electronics & Communication Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,18739,24193
121,Round 1,"Heritage Institute of Technology, Kolkata",Chemical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7927,10193
122,Round 1,"Heritage Institute of Technology, Kolkata",Electronics & Communication Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4996,6128
123,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Electronics & Communication Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,13451,19597
124,Round 1,"Rcc Institute of Information Technology, Kolkata",Applied Electronics And Instrumentation Engineering,B.E/B. Tech,Home State,SC,57976,75481
125,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Applied Electronics And Instrumentation Engineering,B.E/B. Tech,All India,Open,13012,50831
126,Round 1,Swami Vivekananda University,Data Science,B.E/B. Tech,All India,Open,15128,79887
130,Round 1,"Heritage Institute of Technology, Kolkata",Applied Electronics And Instrumentation Engineering,B.E/B. Tech,Home State,SC,17584,17584
131,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Business System (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,6616,7194
132,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Computer Science & Business System (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,17003,20779
133,Round 1,"Heritage Institute of Technology, Kolkata",Applied Electronics And Instrumentation Engineering,B.E/B. Tech,All India,Open,8294,15392
134,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Business System (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7850,8502
135,Round 1,"Academy of Technology, Adisaptagram, Hooghly",Computer Science & Business System (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,10040,11805
136,Round 1,University Of Calcutta,Instrumentation Engineering,B.E/B. Tech,Home State,OBC - B,2558,2558
137,Round 1,University Of Calcutta,Instrumentation Engineering,B.E/B. Tech,Home State,ST,49816,49816
138,Round 1,University Of Calcutta,Instrumentation Engineering,B.E/B. Tech,All India,Open,1211,1324
139,Round 1,University Of Calcutta,Instrumentation Engineering,B.E/B. Tech,Home State,SC,5721,8780
140,Round 1,University Of Calcutta,Instrumentation Engineering,B.E/B. Tech,Home State,OBC - A,7798,8005
143,Round 1,"Birbhum Institute of Engineering & Technology, Suri, Birbhum",Civil Engineering,B.E/B. Tech,All India,Open,24276,77809
145,Round 1,"Institute of Pharmacy, Jalpaiguri",B.Pharm/Pharmaceutical Technology (TFW),B. Pharma,Home State,Tuition Fee Waiver,666,2008
146,Round 1,"Bankura Unnayani Institute of Engineering, Bankura",Civil Engineering,B.E/B. Tech,All India,Open,23199,74875
147,Round 1,"Imps College of Engineering & Technology, Malda",Civil Engineering,B.E/B. Tech,All India,Open,21194,47958
148,Round 1,"University Institute of Technology, Burdwan (Self Financing Course)",Civil Engineering,B.E/B. Tech,Home State,ST,55594,75848
149,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,All India,Open,563,741
150,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,OBC - B,1059,1313
151,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,Open (PwD),55312,58294
152,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A,3715,5776
153,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Information Technology,B.E/B. Tech,All India,Open,21255,29503
154,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,All India,Open,1219,3624
155,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,ST,33926,37273
156,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,OBC - A,4533,5221
157,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - B,1560,2015
158,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,OBC - B,3676,4498
159,Round 1,"Bankura Unnayani Institute of Engineering, Bankura",Information Technology,B.E/B. Tech,Home State,SC,73591,73591
160,Round 1,"Bankura Unnayani Institute of Engineering, Bankura",Information Technology,B.E/B. Tech,All India,Open,15177,71266
161,Round 1,"Techno Engineering Collge Banipur, 24 Parganas-North",Information Technology,B.E/B. Tech,All India,Open,20532,73061
162,Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology,B.E/B. Tech,Home State,SC,18488,18488
163,Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology,B.E/B. Tech,Home State,ST,76365,76365
164,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),B.E/B. Tech,All India,Open,2084,5757
165,Round 1,"Heritage Institute of Technology, Kolkata",Chemical Engineering,B.E/B. Tech,Home State,SC,19912,19912
166,Round 1,"Bengal Institute of Technology, Dhapa, Kolkata",Biotechnology,B.E/B. Tech,All India,Open,19482,45971
167,Round 1,"Heritage Institute of Technology, Kolkata",Chemical Engineering,B.E/B. Tech,Home State,ST,38951,38951
168,Round 1,"Techno India University, Salt Lake",Biotechnology,B.E/B. Tech,All India,Open,3812,25480
169,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,15603,18912
170,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7470,7470
171,Round 1,"Seacom Engineering College, Sankrail, Howrah",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,16898,30956
172,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5516,9679
173,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Computer Science And Design,B.E/B. Tech,All India,Open,21342,53257
174,Round 1,"Asansol Engineering College, Asansol, Burdwan",Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),B.E/B. Tech,All India,Open,21630,52864
175,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,28272,79911
176,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,OBC - B,15710,16370
177,Round 1,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,17251,77234
178,Round 1,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,Home State,SC,79730,79730
179,Round 1,"Sister Nivedita University, New Town",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,9210,75112
180,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,3965,8910
181,Round 1,"Siliguri Institute of Technology, Siliguri",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,18146,79448
182,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,24848,34151
183,Round 1,Jadavpur University,Instrumentation & Electronics (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,639,738
184,Round 1,Jadavpur University,Power Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1136,1408
185,Round 1,Jadavpur University,Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1022,1545
186,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,12516,31703
187,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B. Tech,Home State,OBC - B,12175,12797
188,Round 1,"Heritage Institute of Technology, Kolkata",Applied Electronics And Instrumentation Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,9255,12770
189,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,2361,2816
190,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,433,1190
191,Round 1,University Of Calcutta,Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,726,726
192,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,8208,12354
193,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,5155,7333
194,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Computer Science & Engineering (Data Science) (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,17772,20071
196,Round 1,"Bankura Unnayani Institute of Engineering, Bankura",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,18755,21483
197,Round 1,"Techno Engineering Collge Banipur, 24 Parganas-North",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,13369,21607
198,Round 1,"University Institute of Technology, Burdwan (Self Financing Course)",Computer Science & Engineering - TFW,B.E/B. Tech,Home State,Tuition Fee Waiver,1973,6788
199,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Artificial Intelligence And Machine Learning,B.E/B. Tech,All India,Open,5870,19168
200,Round 1,"Techno International New Town, Rajarhat, New Town",Artificial Intelligence And Machine Learning,B.E/B. Tech,All India,Open,13710,40941
201,Round 1,"Techno International New Town, Rajarhat, New Town",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,10917,14689
202,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,19854,26502
203,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7304,8828
204,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1815,1866
205,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,8898,22094
206,Round 1,"Bengal College of Engineering & Technology, Durgapur",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,20034,22861
207,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,6978,8965
208,Round 1,"Meghnad Saha Institute of Technology, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,9808,10346
209,Round 1,"Rcc Institute of Information Technology, Kolkata",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,12788,23894
210,Round 1,"St. Mary's Technical Campus Kolkata, Barasat",Artificial Intelligence And Data Science,B.E/B. Tech,All India,Open,7010,79691
211,Round 1,"Gargi Memorial Institute of Technology, Baruipur, Kolkata",Electronics & Communication Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,26750,28566
212,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Electronics & Communication Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,6377,7182
213,Round 1,"Jis College of Engineering, Kalyani, Nadia",Electronics & Communication Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,8506,22917
